Feature,Importance
sqm,0.6694612806922947
lag_7,0.14196291055062377
lag_1,0.12091202001822189
airTemperature,0.020455842274674535
month,0.017188261787349945
dewTemperature,0.012299989716370198
seaLvlPressure,0.005816300573700828
day_of_week,0.0056130470092360775
windSpeed,0.0032419090027237074
is_weekend,0.003048438374804319
